zakaznik_objednavka;Èíslo objednávky;nazev;material;toustka;pocet;poznamka;ohyb;Termín dodání;cesta_k_souboru;;dostupne_mat;1.4301 2B;1.4301 Brus+F;1.4301 Kartáè+F;1.4301 Lesk+F;1.4404 2B Chemie;DC01;Hliník;Mosaz;Pozink;S235;S355;Z-1.4301 +folie;Z-1.4301 2B;Z-DC01;Z-Hliník;Z-Mosaz;Z-Pozink;Z-S235;Z-S355
HST;492;BOCNICE SVETLO;DC01;2;5;;NE;20.12.2023;BOCNICE SVETLO.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;DNO SUPLIK VELKY;DC01;2;1;;NE;20.12.2023;DNO SUPLIK VELKY.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;DNO SUPLIK;S235;3;10;;NE;20.12.2023;DNO SUPLIK.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;PLECH STUL;S235;3;10;;NE;20.12.2023;PLECH STUL.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;PLECH ZADA II;DC01;1;5;3;NE;20.12.2023;PLECH ZADA II.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;PLECH ZADA SPODNI II;DC01;2;5;;Ano;20.12.2023;PLECH ZADA SPODNI II.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;PLECH ZADA SPODNI;DC01;2;4;;Ano;20.12.2023;PLECH ZADA SPODNI.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;PLECH ZADA STREDOVY;S235;3;8;;Ano;20.12.2023;PLECH ZADA STREDOVY.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;PLECH ZADA;S235;5;1;;Ano;20.12.2023;PLECH ZADA.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;PLECH ZARIVKA DLOUHA;S235;4;3;;Ano;20.12.2023;PLECH ZARIVKA DLOUHA.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;SUPLIK CELO;DC01;2;5;;Ano;20.12.2023;SUPLIK CELO.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;SUPLIK SIROKY;DC01;1;2;;Ano;20.12.2023;SUPLIK SIROKY.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;VYPLN DRZAK SVETLA STRED;S235;3;10;;Ano;20.12.2023;VYPLN DRZAK SVETLA STRED.DXF;;;;;;;;;;;;;;;;;;;;;
HST;492;VYPLN DRZAK SVETLA;S235;3;8;;Ano;20.12.2023;VYPLN DRZAK SVETLA.DXF;;;;;;;;;;;;;;;;;;;;;
